policy,streaming_ratio,agentic_ratio,throughput_rps,throughput_rps_std,throughput_rps_ci95,p95_latency_ms,p95_latency_ms_std,p95_latency_ms_ci95,p99_latency_ms,p99_latency_ms_std,p99_latency_ms_ci95,sla_violation_rate,sla_violation_rate_std,sla_violation_rate_ci95,cost_per_success,cost_per_success_std,cost_per_success_ci95,total_jobs,total_jobs_std,total_jobs_ci95,success_jobs,success_jobs_std,success_jobs_ci95,timeout_jobs,timeout_jobs_std,timeout_jobs_ci95
fifo,0.9,0.1,0.041648281062108085,0.0063731476659759125,0.004721293862001922,311073.6873240451,38667.546329284916,28645.31919097978,522403.6439616136,71605.6546974768,53046.211342736526,0.9953906182349769,0.0014251446972173662,0.0010557619663134868,0.2301328658622905,0.04176314843059907,0.03093857332004392,2507.5714285714284,49.99952380725622,37.04016558638294,31.857142857142858,6.56832224718437,4.8658812151551745,2475.714285714286,47.51039986400973,35.19619676423387
fifo,0.5,0.5,0.010785307320440581,0.0046037274748932195,0.003410489040695187,3219598.7002599114,108307.69890416635,80235.46618474436,3506581.517916241,99306.01274995344,73566.92376034016,0.995522201401333,0.001423822857013031,0.001054782733386468,0.36430279028616563,0.15591202748456032,0.1155012463158439,2516.285714285714,35.48104792568508,26.284728138851523,40.857142857142854,18.050194564312147,13.371771261379944,2475.4285714285716,41.226436271148245,30.54097138817515
fifo,0.1,0.9,0.03839397484481054,0.0015272494165599734,0.0011314022009321306,6132573.092411751,119668.2321195976,88651.46696649797,6417749.814655768,133522.75199989788,98915.03892499095,0.8991747025537123,0.0037332354685405047,0.002765619537913084,0.06909015625273619,0.002749371801443048,0.0020367631335161487,2514.285714285714,58.3315645990353,43.21262778401702,256.14285714285717,9.299257522845062,6.8889863792384824,2258.1428571428573,57.06846347861071,42.276909379313274
shortest-job-first,0.9,0.1,1.6760302256344235,0.12515672233618907,0.09271739741866536,289371.1670619688,23746.420562138905,17591.594533903644,628757.6040852756,59122.43244136591,43798.51088062003,0.5030583969397482,0.008454386757747415,0.006263097357596053,0.003719105029371293,0.00012707288424976403,9.413691002928018e-05,2507.5714285714284,49.99952380725622,37.04016558638294,1450.5714285714287,16.040128250288845,11.882693297396848,1057.0,42.23347803184894,31.286998364602933
shortest-job-first,0.5,0.5,0.32458148755719013,0.01164405902667985,0.008626039642066473,2970589.278780515,91119.15497491136,67502.01464663142,3547355.5561701106,103798.85410638766,76895.26721491365,0.5925863542431936,0.00829709918807893,0.006146577095369978,0.008939194555976419,0.000261570863889187,0.00019377440769991194,2516.285714285714,35.48104792568508,26.284728138851523,1242.4285714285713,22.962702678163,17.01100820057412,1273.857142857143,35.26295776698532,26.123164688324678
shortest-job-first,0.1,0.9,0.06737474529112748,0.0027666581359027313,0.002049569029293007,5748122.690231031,118420.06322696689,87726.81051094782,6388751.576871107,118608.90917479922,87866.70954688647,0.836781809162099,0.006232431871421113,0.004617050142581282,0.03883100446608223,0.001814532961188626,0.0013442248290897218,2514.285714285714,58.3315645990353,43.21262778401702,450.0,20.231987873991358,14.988066364055548,2064.285714285714,55.73064472895287,41.28583938026855
agentic-priority,0.9,0.1,0.035920265137152345,0.008542714628030934,0.006328531559605779,311050.57349944423,38081.184831400285,28210.936514479687,521742.95053694246,71418.44695591989,52907.525906990144,0.9956783875555351,0.0013779518924810473,0.001020801047312386,0.27454143610705495,0.06831451168223267,0.05060809847744122,2507.5714285714284,49.99952380725622,37.04016558638294,27.428571428571427,7.502380574571933,5.557841307558178,2480.1428571428573,48.680689434410475,36.063159410493505
agentic-priority,0.5,0.5,0.010785307320440581,0.0046037274748932195,0.003410489040695187,3219598.7002599114,108307.69890416635,80235.46618474436,3506581.517916241,99306.01274995344,73566.92376034016,0.995522201401333,0.001423822857013031,0.001054782733386468,0.36430279028616563,0.15591202748456032,0.1155012463158439,2516.285714285714,35.48104792568508,26.284728138851523,40.857142857142854,18.050194564312147,13.371771261379944,2475.4285714285716,41.226436271148245,30.54097138817515
agentic-priority,0.1,0.9,0.03839397484481054,0.0015272494165599734,0.0011314022009321306,6132573.092411751,119668.2321195976,88651.46696649797,6417749.814655768,133522.75199989788,98915.03892499095,0.8991747025537123,0.0037332354685405047,0.002765619537913084,0.06909015625273619,0.002749371801443048,0.0020367631335161487,2514.285714285714,58.3315645990353,43.21262778401702,256.14285714285717,9.299257522845062,6.8889863792384824,2258.1428571428573,57.06846347861071,42.276909379313274
